Note,Description,Date,nombre_good_bad,nombre_follow,key
"5,0","Forrest Gump de Robert Zemeckis (réalisateur de la trilogie ""Retour vers le futur"") signe ici son meilleur film. Puissant, touchant, émouvant, aucun adjectif ne pourrait décrire ce film qui à marqué de nombreux cinéphiles à travers le monde. Dans ce film, le réalisateur fourmille d'idées pour rendre la vie de cet homme palpitant et unique. On s'imprègne des joies et des peines de ce dernier. Bref on suit ces émotions. Et c'est peut-être la que le film fait la différence. On se reconnaît à travers lui, car chacun au plus profond de nous-mêmes, nous sommes passés par ses étapes qui caractérisent nos vies. L'amour, la mort d'un proche. 
    spoiler: 
    La mort de Jenny m'a bouleversé, je chialais comme une grosse merde


Tantôt on rit, tantôt on pleure avec Forrest. 

De plus le film se distingue des autres car il fait passer pleins de différents messages. L'idée de voir à travers les yeux d""un simplet l'histoire de l'Amérique du XX ème siècle était brillante. Le fait de voir qu'il est à l'origine de nombreuses choses comme 
    spoiler: 
    la création de la marque ""Apple"" ou encore qu'il est à l'origine du smiley

,  est en soit un message, car, les préjugés dont il fait l'objet tout au long du film ne l'empêche aucunement de se construire la vie dont il rêvait. C'est un message d'espoir. 

Les acteurs (Surtout Tom Hanks) sont géniaux et jouent leurs rôles à la perfection. La réalisation est très belle, à quelque chose de vraiment poétique et s'accorde bien avec les musiques. Zemeckis à vraiment eu bon sur toute la ligne et à mérité qu'on lui décerne l'oscar du meilleur réalisateur (Bravo aussi à Tom Hanks pour son oscar du meilleur acteur ...

Ce film est un chef d’œuvre et restera, pour moi, l'un des plus grands films jamais réalisés à ce jour. Un hymne à la vie. Un vraie tour de force pour un réalisateur en panne d'inspiration, et dans lequel plus personne ne croyait. D'ailleurs, je remercie au passage mes parents qui m'ont forcé à regarder ce film quand j'avais quinze ans. Trois ans que je l'ai découvert et je ne m'en lasse pas. A voir ! 

La vie c'est comme une boîte de chocolats, on ne sait jamais sur quoi on va tomber.",Publiée le 8 avril 2013,"155
        

    

    
    
                    
                            

        
                                                                    
        
        
        
                    
                    
        
        
            10",Suivre son activité,0
"4,5","Une immense rèussite du cinèma hollywoodien! Robert Zemeckis implique son hèros imaginaire du nom de Forrest Gump dans tous les grands èvènements sur trente ans d'histoire amèricaine de 1950 à 1980 et l'intègre même dans des documents d'archives dètournès et ètonnants en lui faisant rencontrer des cèlèbritès anciennes! Avec les dèbuts d'Elvis Presley, la guerre du Vietnam et même la contre-culture du Peace And Love! Tom Hanks est à tout jamais Forrest Gump, magnifique et inoubliable prestation qui lui vaudra un second Oscar du meilleur acteur! Hèros de guerre, joueur prodigieux de ping-pong, milliardaire grâce au commerce de la crevette, inspirant le King ou Lennon pour son ""Imagine"", se retrouvant même dans le scandale du Watergate...on peut dire que son personnage en a vu du pays! C'est aussi une ode au bonheur prodigieuse et une fresque historique comme les aime les amèricains marquèe par une bande sonore extraordinaire (""Sweet Home Alabama"" de Lynrd Skynard, ""Mrs. Robinson"" de Simon & Garfunkel, ""Everybody's talkin"" de Harry Nilsson...) , sans oublier pour autant l'excellente partition d'Alan Silvestri! Paysages à couper le souffle, F/ X novateurs, interprètation remarquable jusqu'aux seconds rôles, ""Forrest Gump"" est un joli moment de cinèma...",Publiée le 25 juillet 2019,"42
        

    

    
    
                    
                            

        
                                                                    
        
        
        
                    
                    
        
        
            3",Suivre son activité,1
"5,0","Le matin, quand il fait bon et beau, normal quoi, j'aime bien me balader à pied. Souvent, je me promène dans le parc de mon quartier. Ça peut paraître con, mais j'aime bien. Et il ne se passe jamais rien, rien de bien excitant ou de passionnant, rien qui ferait de ma vie une odyssée humaine et tragique, unique et inédite, mais bon ça me plait. Et donc, ce matin, peu réveillé, la tête encore dans les draps et le goût du café dans la bouche, j'y suis allé à contre-coeur, chose qui ne m'était plus arrivée depuis déja quelques temps. Tu vois, j'avais pas trop envie de sortir de chez moi. Alors, ce que j'ai fait, c'est que j'ai allumé la radio. Rien de passionnant. Donc, j'ai pris la télécommande, et j'ai mis la télé. Rien non plus, à par une rediffusion ( chose très rare le matin ), celle d'un film que je n'avais encore jamais vu, ""Forrest Gump"" ( oui, je n'avais pas encore eu le plaisir d'assister à ce spectacle de tendresse et d'amour ). Je l'ai regardé quoi, cinq minutes, peut-être dix? J'en avais marre, j'avais mal aux yeux. Et donc, qu'es-ce que j'ai fait, à votre avis? J'ai pris la décision de sortir de chez moi me balader, vous avez vu juste. Vingt minutes après avoir éteints ma télé, parce oui, ça m'arrive de vouloir être précis, je me baladais parmi les arbres et les oiseaux ( qui mangeaient des miettes de pain de manière amusante ), et je me posais sur u banc, parce que j'en avais légèrement marre de marcher. Je ne savais pas ce que j'avais ce matin, mais c'était vraiment pas normal. Les deux écouteurs dans les oreilles, avec du Skrillex à fond, Bangarang en tête, je restais là pour quelques minutes, surement cinq, peut-être plus. Passons au présent, je préfère. Je lève les yeux au ciel, les ferme, crevé ( merci les lendemains de soirée ), et me concentre dans le premier jump de la chanson, le genre d'instants qui vous filent des tics et des tocs par dizaines pour les trois prochaines minutes, paressant aux yeux des passants et autres promeneurs pour un gros mec hyperactif et complètement chtarbé dans sa tête. Une main me touche l'épaule. Je me retourne, enlève un écouteur, celui de droite, ouvre les yeux, passablement énervé par celui qui vient de me perturber dans mon essai de sieste ( oui, je sais, c'est bizarre de sortir pour dormir ), et me ravise. C'est qui ce gars, là?! ""Bonjour, je m'appelle Forrest Gump"". Cette voix... Ce visage... Cette façon de s'exprimer... Sans déconner, c'est une blague? Elle est où la caméra cachée?! Il a un timbre unique, le genre qui vous donne son intelligence en deux secondes top chrono, et vous fait comprendre qui vous avez à vos côtés. Il parle un peu comme un pauvre benêt, un gars qui n'aurait pas eu toutes les chances de son côté à la naissance. ""Et vous, vous vous appelez comment?"" Je fais un blanc, ne lui réponds pas tout de suite, devient vert, un peu comme si l'on me laissait des bleus après un passage à tabac, observe le pigeon gris qui me détaille avec un regard noir, enlève mon deuxième écouteur bleu et lui donne mon nom. ""Vous ne seriez pas..."" Il me coupe, et me répond que oui. Puis, il enchaîne et me dit qu'il est devenu une star depuis que le film est sortit, que maintenant les gens l'écoutent quand il leur parle, qu'ils ne s'en vont plus dès qu'il a commencé à un peu trop s'éterniser dans son histoire, qu'il comprend pleinement ce que sa maman voulait dire quand elle lui répétait ""La vie, c'est comme le chocolat, on ne sait jamais sur quoi on va tomber"", et qu'il regrette sa vie d'avant, avec sa mère et sa copine, Jennifer, avec qui il a eu Forrest Gump, et son meilleur ( unique ) ami, Bubba, pour qui il a fondé une entreprise de pêcheur de crevettes, grâce à laquelle il a fait fortune, aux côtés du sergent Taylor, pauvre gars qui avait perdu ses jambes au vietnam, et que Forrest, en courant, avait sauvé du trépas, lui promettant un avenir meilleur. Mais il regrette surtout son enfance, où personne n'avait encore disparu, où il avait connu de grands hommes, presque tous morts aujourd’hui, Elvis ""le King"" Presley, John Kennedy et je ne sais plus trop qui, qui me laissent unanimement présager que ce pauvre gars est maudit. Presque tous ceux qui le rencontrent meurent, alors que lui connait un destin encore plus radieux et lumineux que n'importe lequel d'entre nous, véritable leçon de vie sur patte. Et là, le mec me bouleverse, m'attriste, me surprend, m'éblouit, me réconforte ( grâce à des moments tous plus beaux les uns que les autres ), innove et me livre une histoire que je n'aurai jamais pu imaginer. Il en a dans la tête, le pauvre gars, victime de la vie et de la guerre, mais tellement heureux après toutes ces épreuves endurées. Et le pauvre gars me redonne le sourire. Son histoire, sa vie, presque l'intrigue de son existence, sont magnifiques et uniques, bouleversantes et tragiques, mais tellement belles et touchantes! C'est le seul gars qui m'a fait pleuré grâce à son histoire! ""Pourquoi vous ne partez pas?"" Me demande-t-il gentiment. Il demandait ça tout le temps au bout d'un moment, quand il arrivait un peu trop loin dans l'histoire, m'a-t-il dit. Et la fin, dramatique et émouvante, gagne en puissance grâce à une dernière image aussi magique que tout le reste. L'histoire de cet homme est fantastique, il y a vu l'évolution de nombre de grands noms de l'histoire de l'homme moderne et de l'Amérique, et je ne peux que me dire que la mienne n'est rien comparée à la sienne. Et si... Le réveil sonne, je me lève, allume la télé, me remet encore du choc d'avoir vu pour la première fois le chef-d'oeuvre ""Forrest Gump"" hier soir, et imagine le reste de ma journée. Pourquoi pas me mater ""Taxi Driver"", ce soir? Il était beau, ce rêve, quand même...",Publiée le 18 juillet 2014,"39
        

    

    
    
                    
                            

        
                                                                    
        
        
        
                    
                    
        
        
            4",Suivre son activité,2
"5,0","Un film immense, rempli de poésie et de bons sentiments sans tomber dans le mièvre. Ce film est tout simplement un chef d'oeuvre. Le scénario est fantastique,  nous faisant revivre des éléments marquants de l'histoire des Etats-Unis post-seconde guerre mondiale. Même l'histoire d'amour s'avère riche et est très crédible. Enfin il faut s'attarder sur la performance de Tom Hanks, parfaite en tout point, le petit Forrest ne pourra pas s'empêcher de vous faire fondre en le voyant. Du très grand art!",Publiée le 13 juin 2010,"46
        

    

    
    
                    
                            

        
                                                                    
        
        
        
                    
                    
        
        
            5",Suivre son activité,3
"5,0","Un très grand film . Ce film suit la vie sur plusieurs décennie d'un simple d'esprit nommer forrest gumps ( Tom Hanks ) qui va pourtant mener une vie incroyable  
    spoiler: 
    a la fois héros de la guerre du Vietnam , star de football américain , star de Ping pong , capitaine de crevettier qui fera de lui un milliardaire 

. Sans qu'il ne s'en rende compte ses actes vont influencé pas mal d'événements historiques 
    spoiler: 
     ( le watergate) 

 et de personnages célèbres  (
    spoiler: 
     Elvis Presley )

 ... Tom Hanks est tout simplement époustouflant dans le rôle de forrest gumps ce simple d'esprit qui va mener une vie incroyable . ce rôle  restera sûrement comme son plus grand rôle au cinéma . Il joue a merveille le rôle du simple d'esprit que se soit dans ses gestes , son comportement et dans sa façon de parler . Il est tellement bon qu'on y croit a fond et qu'on a pas l'impression qu'il joue la comédie il est forrest gumps . Il fut récompenser a juste titre de l'oscar du meilleur acteur pour sa performance incroyable . Le reste du casting est également très bon . Un film a la fois drôle et émouvant . L'histoire de ce film est vraiment prenante . On est vraiment captiver de bout en bout devant la vie incroyable et les péripéties de  ce simple d'esprit nommer Forrest gumps . Un personnage pas très malin et pas très intelligent  mais qui va tenter de trouver sa place dans ce monde hostile a son égard et qui le moque sans arrêt . Il  n'ai pas très intelligent mais il va découvrir qu'il a d'autre talent en compensation qui lui permettront de se faire une place dans ce monde et de mener une vie incroyable .forrest gumps voit le monde a sa manière avec une naïveté très touchante .son intelligence limité fait qu'il ne réfléchit pas toujour a ce qu'il dit ni a ce qu'il fait au risque de sortir des énormités ou de faire quelques bourdes en tout genre 
    spoiler: 
    ( montrer ses fesses au président ou sauter de son bateau sans l'arrêter )

 et sa va donner des moments assez hilarants . Le personnage de forrest gumps est vraiment attachant . Ses actes pas toujour très réfléchit vont avoir une influence capital sur certains événements historiques et sur certaines personnalités célèbres . Un film qui jongle a merveille entre rire et émotion.  Un film remplit de scènes très drôles ( booba qui cite toute les recettes avec des crevettes ) et de scènes très émouvantes  ( 
    spoiler: 
    la mort de Jenny , forrest qui apprend qu'il a un fils

 ) . Le film contient une pléiade de  répliques devenu cultes et passer dans le langage courant ( cour forrest cour , la vie c'est comme une boîte de chocolat on ne sait jamais sur quoi on va tomber ...) . La musique du film est  magnifique et colle parfaitement a l'ambiance du film . La réalisation de Robert zemeckis est incroyable . il revisite  trente ans de l'histoire américaine a travers les yeux de forrest gumps  grâce  une reconstitution minutieuse du a de très bons costumes , décors et de très bons trucages visuels .un film qui connut un succès considérable a travers le monde et qui fut récompenser d'une pluie de récompense dont 6 oscars amplement mériter . Un film cultissime.",Publiée le 18 août 2014,"28
        

    

    
    
                    
                            

        
                                                                    
        
        
        
                    
                    
        
        
            3",Suivre son activité,4
"5,0","L'histoire d'un gars un peu simplet qui traverse candidement la seconde moitié du XXème siécle américain, parfois au plus près des événement historiques. Sa vision naïve des choses donne vraiment un concept intéressant et on suit avec bonheur son parcours tantôt drôle, tantôt très émouvant, Tom Hanks incarnant magnifiquement le personnage et les autres acteurs gravitant autour de lui n'ayant plus qu'à se mettre au diapason. Le film est également accompagné par une B.O splendide, aucune fausse note de côté là. Au final, le temps file à toute allure, tant et si bien qu'il m'est impossible de dire combien de temps ça dure réellement, preuve que l'on ne s'ennuie à aucun moment. A noter que la VF est de qualité car impliqué et appliqué, ce qui est assez rare et donc mérite d'être signaler. Une véritable fresque de toute beauté, avec 6 oscars amplement mérités à la clé.",Publiée le 13 décembre 2012,"23
        

    

    
    
                    
                            

        
                                                                    
        
        
        
                    
                    
        
        
            2",Suivre son activité,5
"4,5","""La vie c'est comme une boîte de chocolats, on ne sait jamais sur quoi on va tomber."" Cette phrase mythique résume à elle seule ce film brillant, réalisé par Robert Zemeckis. Forrest Gump est un garçon simplet, pour qui courir n'est pas seulement un passe-temps, mais une raison de vivre. Tom Hanks incarne avec justesse et sobriété cet homme ordinaire au destin extraordinaire. Il est incroyable de voir comment ce film, à partir de rien, arrive à parler de quasiment tout ! Que ce soit à travers des clins d'œil (on pense à ceux fait aux films sur le Vietnam, à celui sur le scandale du Watergate…), ou dans des images d’archives historiquement importantes (l’assassinat de Kennedy, le discours de démission de Nixon…), qui sont parfois retouchées (ils incrustent Tom Hanks avec des présidents américains !). Quitte à parfois retoucher aussi l’histoire, ou alors les origines d’une marque (Apple (!), désignée ici comme un vendeur fuits/légumes à grande échelle…) ! Et même parfois, à critiquer certains aspects de la société Américaine (la guerre du Vietnam, la drogue…) ou à en célébrer d’autres (à l’inverse, la campagne pacifique anti-guerre du Vietnam, les Blacks Panthers…). Ce film regorge donc d’idées, de messages, ce qui fait de lui une œuvre culte et mémorable. La distribution est très bonne (Tom Hanks, Robin Wright, Gary Sinise, Sally Field, et même Haley Joel Hosment dans son premier rôle). Le scénario est bien construit et la mise en scène imparable (Zemeckis quoi !). Culte, drôle, émouvant, prenant, sympathique, innovant, sublime, magique... ""Forrest Gump"", c'est tout ça à la fois !",Publiée le 14 juin 2014,"17
        

    

    
    
                    
                            

        
                                                                    
        
        
        
                    
                    
        
        
            0",Suivre son activité,6
"5,0","Forrest Gump est sans aucun doute le meilleur, le plus touchant, le plus drôle, le film le plus réussi de Robert Zemeckis de toute sa carrière!!!!!! J'aimerai tant que Zemeckis revienne au temps où il ne réalisait que des films en prise de vue réelle!!! C'est pas que ses films d'animation sont ratés mais ils sont beaucoup trop particuliers et loin d'être parfaits alors que dans les années 1980 jusqu'à 2000, ses films étaient juste géniaux, même Seul au Monde qui est sorti en 2000! En tout cas, Forrest Gump est et restera un des plus beaux films de tous les temps et se situe dans mon top 10 de mes films préférés!!!!! Ce film n'a aucun défaut! Chaque point est parfait!!!! À commencer par le jeu d'acteur juste hallucinant!!!!! Tom Hanks prouve encore qu'il est un des plus grands acteurs d'Hollywood!!!!! Son interprétation de Forrest Gump est exceptionnelle!!! L'Oscar est évidemment largement mérité! C'est simple, dès la première séquence du film, on s'attache à lui par sa simplicité, sa manière de voir les choses, se penser, par son handicap, par sa façon de parler ( une chance que ce soit Jean-Philippe Puymartin qui le double!! ). On l'adore direct!!!! Robin Wright est super attachante dans le rôle de Jenny, son personnage est déjà très intéressant alors son interprétation... impressionnante! Gary Sinise prend plaisir, ça se voit, à incarner le Lieutenant Dan, il est très marrant dans ses conversations avec Forrest Gump et aussi touchant à cause de la perte de ses jambes. Mykelti Williamson est marrant et attachant en Bubba, Sally Field est elle aussi très attachante surtout grâce à son personnage touchant et bien construit. Hael Joel Osment apparaît à la fin du film en
    spoiler: 
     Forrest Gump Junior

 assez charismatique. La musique d'Alan Silvestri est très douce, très jolie avec des thèmes au piano très bien trouvés, bravo également pour le morceau où 
    spoiler: 
    Forrest arrive enfin à courir quand il est petit!

 Visuellement, on reconnaît facilement que c'est un film de Robert Zemeckis, à voir tout les détails, les couleurs; les décors, même les costumes comme celui de Sally Field qui me fait rappeler Joanna Cassidy dans Qui veut la peau de Rogger Rabbit! La réalisation est bien entendu brillante, c'est très bien filmé et quels effets spéciaux!!!! Je n'arrête pas de me demander comment ils ont pu faire de telles incrustations avec les images d'archive des présidents des États-Unis! Bluffant!!! Mais le film repose aussi sur une histoire magnifique ponctuée de moments savoureux à la fois touchants et hilarants!!!! Déjà, quelle super idée de la part de Robert Zemeckis de nous montrer la vie d'un simple d'esprit qui sera passé par tous les domaines et qui aura à chaque fois réussi!!!! Les répliques sont cultes!!!! "" La vie c'est comme une boîte de chocolats, on ne sait jamais sur quoi on va tomber "", "" Cours Forrest! Cours!!! "", "" N'est stupide que la stupidité "", "" Vous êtes stupides ou quoi? "" et tellement d'autres.... Les gags sont tous, et je dis bien tous, hilarants, on ne pourrait faire mieux aujourd'hui!!!! Les personnages sont riches, Forrest est si simple, si gentil qu'il nous bouleverse direct! Jenny aura tout au long du film des aventures très tristes comme
    spoiler: 
     son père qui aura presque gâché sa vie

. La fin va faire chagriner tout le monde, ça a été le cas pour moi! Forrest Gump est un chef-d'oeuvre, un film culte, une légende du cinéma!!!!!!",Publiée le 9 novembre 2012,"27
        

    

    
    
                    
                            

        
                                                                    
        
        
        
                    
                    
        
        
            6",Suivre son activité,7
"5,0",Un film porté par un immense Tom Hanks et qui vous touche du début jusqu'à la fin.,Publiée le 15 septembre 2014,"19
        

    

    
    
                    
                            

        
                                                                    
        
        
        
                    
                    
        
        
            3",Suivre son activité,8
"5,0","Il est difficile de trouver film plus emblématique que ""Forrest Gump""(1994).A la fois fable fondante et chronique d'un homme au coeur de l'Histoire,l'oeuvre de Robert Zemeckis est émouvante,tendre,sensible,drôle et charmante.Les adjectifs manquent tant on est emporté par ce parcours hors du commun.Forrest Gump,garçon simplet et handicapé de l'Alabama,qui devient un héros national.La conception d'un certain rêve américain,et la preuve que les espoirs d'un grand destin sont permis à tous.Forrest devient champion de ping-pong,médaillé d'honneur de la guerre du Vietnam,coureur inspirant les gens.Il rencontre 3 présidents,dialogue avec Elvis Prestley et John Lennon.C'est son innocence et sa candeur contagieuse qui sont ses plus grandes forces.Il ne peut se rendre compte de toutes les choses,formidables qu'il réalise durant sa vie.Mais il sait reconnaître l'amour...En l'occurence avec Jenny(Robin Wright),son amie d'enfance,a qui il restera fidèle pour toujours,même quand elle sera loin de lui.Tom Hanks est d'un naturel incroyable.Son Oscar est amplement mérité,et le film en glanera 5 autres.Les techniques avant-gardistes d'insertion de Gump dans les images d'archives sont savoureuses.Il faut dire aussi que la musique légère d'Alan Silvestri rend l'ensemble d'une puissance émotionnelle peu commune.On pleure,mais on croit d'autant plus à la vie après avoir suivi un tel être...",Publiée le 19 septembre 2011,"12
        

    

    
    
                    
                            

        
                                                                    
        
        
        
                    
                    
        
        
            3",Suivre son activité,9
