Note,Description,key
"4,5","Les critiques négatives m’étonnent car, pour ma part, j'ai beaucoup apprécié cette série. J’ai trouvé ça innovant, intelligent et ça m'a fait du bien de voir des acteurs que j'apprécie et une fiction française qui nous sort un peu du temps du Covid où plus rien ne sort en salle et où les actualités sont souvent moroses. 

Ce n'est pas un chef-d'oeuvre mais c'est très efficace, pleins de rebondissements (pour celles et ceux qui aiment le professeur de la Casa del Papel, vous allez vous régaler) et addictif au point que j'ai dévoré ça en une soirée. Bref, un vrai coup de coeur de ce début d'année ! :)",0
"1,5","Alors ce fameux Lupin Dans L'Ombre D'Arsène. Que vaut-il? Commençons par souligner les très belles images de Paris. C'est bien filmé et le cadrage est propre. Ceci étant dit, trouver des qualités autres à cette oeuvre s'avérera compliqué. En effet, il est difficile de s'immerger dans cette série. L'histoire nous dépeint un espèce d'héritier spirituel d'Arsene Lupin, gentleman cambrioleur expert dans la prestidigitation. Synopsis alléchant... Mais disons le tout de suite, Omar Sy s'avère être un bien mauvais choix pour porter ce rôle de voleur furtif. Il n'en a pas le profil. C'est comme demander à un basketeur ou un videur de boite de nuit de passer inaperçu dans une pièce remplie de bourgeois caucasiens du petit Paris. Ca ne fonctionne pas. On ne voit que lui. De plus, ses ""subterfuges"" ne sont pas crédibles, or c'est précisément ce qui est censé être la grande force de la série. Une oeuvre de ce genre représentait à l'évidence un bien trop grand défi pour les metteurs en scènes et les scénaristes du staff. Lupin est une série qui sonne faux. Pour couronner le tout, elle est submergée par une sorte de morale anti-raciste bien appuyée (non pas que l'anti-racisme soit une mauvaise chose, mais mené comme çà, c'est juste contre productif) et s'efforce de lutter au forceps contre les stéréotypes et autres idées reçues (encore un projet louable mais) à tel point qu'elle perd en logique, en consistance, et surtout, en pertinence.",1
"4,5","Bon euh, faut pas déconner. Les gens s'acharnent sur la série, mais regardez et faites vous un avis. 
Voilà le mien: C'est bien ficelé, c'est marrant et c'est intelligent. C'est tout.",2
"0,5","C'est dommage parce-que les intentions de la série au niveau du scénario, des acteurs, sont vraiment intéressantes, mais il y en a vraiment marre de voir des films et séries françaises dénoncer le racisme avec la subtilité d'un train de marchandise passant à 3h du matin. Il faut être plus fin que ça, bien sûr que le racisme c'est pas bien blablabla, mais user de cette lutte à tout bout de champs lui fait justement perdre toute son importance. Ce manichéisme en France devient vraiment pénible.",3
"0,5","Lupin par Omar SY ? on aurait le droit d'hurler à l'appropriation culturelle, mais le pire n'est pas là: Trop d'invraisemblances, trop de clichés, les policiers passent encore pour des crétins,  et quand on ne fait pas partie du public ciblé par la série on arrive pas à s'identifier. Peu d'intérêts ici.",4
"1,5","Encore une adaptation ratée d'Arsène Lupin et encore une série française Netflix médiocre.
Le jeu d'acteur est nullisime, les situations probablement écrites par l'équipe de Joséphine Ange Gardien...malgré les moyens déployés (filmer au Louvre, mettre en tête d'affiche un acteur ""bankable""), c'est dur de pardonner une telle médiocrité.",5
"0,5","Netflix ne sais pas faire de série françaises , 
C'est un naufrage total . C'est la pire adaptation d'Arsène Lupin , a non c'est vrai ce n'est pas Arsène Lupin mais Assane Diop un copicat lol .
Omar Sy en fait des tonnes pour sauver le naufrage . L'intrigue  si on peut parler d'intrigue 
C'est téléphoné . Bref a fuir immédiatement
Netflix commande une seconde saison 02 il vont continuer le navet
Georges Descrières est Arsène Lupin et aucun acteur ne lui arrivent à la cheville Il doit se retourner dans sa tombe",6
"0,5","Aie aie aie, tellement de beau projet dans cette adaptation moderne d'un classique Français, on nous a promis un chef d'œuvre et nous avons un navet de chez netflix (surprenant au vue des bouses qui nous bonde régulièrement).

  Bref j'ai passé outre les critiques du choix d'acteur que netflix a ""alégrement"" utilisé pour jouer sur la vague blm et la carte du racisme pour vendre sa série, comme si elle ne pouvez utilisé que cette argument là... Du coup, je me suis lancé sur cette série et qu'elle horreur... Faisons une liste:
  - Jeux d'acteur d'Omar sy horrible, où est passé le grand acteur d'intouchable??? 🤢. Le talent visiblement se perd quand on achète une villa hollywoodienne? Bon pas surpris de voir certaine personnes le trouver bon quand ils applaudissent kev adam pour son talent.
  - Arsin était un champion du déguisement. Assan se veut son digne successeurs et il n'utilise rien, il change de vêtement lors des enchères, pour la prison, en livreur hubber, il croise les même personnages et ""personnes"" ne le reconnait 😒😒😒. Scandaleux, on ne demandait pas non plus ""mission impossible"" mais vous auriez pu faire un effort.
  - Le passage de la prison, sérieux avez vous déjà travaillé voir approché d'une prison vous l'équipe technique où même les réalisateurs??? Je suis sur que non.
  - La scène du micro coupé juste en posant la mains est impossible. Essayez avec votre téléphone vous verrez bien.

  Bref, chacun se fera son avis, moi c'est clair la culture et netflix c'est INCOMPATIBLE",7
"0,5",Une série pour les enfants. Omar Sy est certes sympathique mais le scénario est bourré d'invraisemblances. Cela pourrait être alors une simple comédie mais le ton n'y est pas non plus. La voiture qui s'envole et tombe sur la pyramide aurait pu amuser mais c'est bâclé. Une série pour perdre son temps.,8
"0,5","Remettant en doute les critiques j'ai voulu me lancer dans les cinq épisodes de cette mini série et le moins que l'on puisse dire est que Lupin est bien un ratage complet. La faute à une intrigue assez peu palpitante, un scénario qui n'évite pas les clichés et des dialogues et répliques justes creuses. Résultat, le tout s'essouffle vite. Et que dire du jeu d'acteur d'Omar Sy qui une nouvelle fois est fidèle à lui-même. Omar Sy fait du Omar Sy. Cet acteur est une escroquerie totale qui a pour seul talent d'avoir saisi l'opportunité de se placer au bon endroit au bon moment. Finalement l'ensemble reste bien fade et ne se hisse jamais à la hauteur de son modèle littéraire de Maurice Leblanc. Dommage, mais avec le cinéma français on commence à être habitué.",9
"2,0","L'idée de choisir un Arsène Lupin noir dans un contexte contemporain n'était pas mauvaise, bien que cette couleur de peau et la carrure du comédien limitent les possibilités de déguisement du personnage. Hélas, non seulement Omar Sy n'a pas la subtilité et le charisme du héros de Maurice Leblanc, mais tout est terriblement lourdingue dans cette série : les dialogues, les gags, les scènes d'action, le scénario. Bref, c'est raté et ça ne dépasse pas le niveau des séries hexagonales habituelles, très en dessous de certains excellentes séries produites par Netflix. Une mention spéciale pour l'épisode 5 qui est particulièrement nulle, avec une louche de mélo et des scènes de remplissage sans le moindre intérêt.",10
"5,0","Je suis ravie de ne pas avoir regardé la note Allociné avant de regarder, car je serais passée à côté d'une très très belle série. Un scénario innovant et très complet en tous points, un très bon casting, de très belles performances. Rien à redire, c'est parfait.",11
"0,5","C'est mal écrit, mal joué. J'ai du mal à comprendre cette passion pour les sociétés de production à vouloir absolument faire dans le politiquement correct quitte à dénaturer totalement une oeuvre et à la rendre fade.
Les mystères des politiques progressistes transpirent sur la pellicule...",12
"1,5","Assane Diop (Omar Sy) est orphelin. Vingt ans plus tôt, son père est mort en prison, dans d'obscures circonstances, après avoir été injustement soupçonné du vol du Collier de la reine, propriété de ses patrons, M. et Mme Pellegrini. Assane a grandi solitairement. Fan d'Arsène Lupin dont il a lu toutes les Aventures, il utilise ses dons pour la cambriole pour commettre, toujours avec élégance, mille larcins. Quand on annonce que le Collier de la reine a été retrouvé et qu'il sera bientôt mis en vente, Assane n'a plus qu'une idée en tête : le dérober afin de laver l'honneur de son père.

Les cinq premières épisodes de la série ""Lupin"" arrivent sur Netflix avec tambours et trompettes. Rassemblant quelques unes des plus grandes stars du moment, soigneusement choisies pour séduire toutes les tranches d'âge (Omar Sy, l'acteur préféré des Français, Clotilde Hesme pour les trentenaires, Ludivine Sagnier pour les quadragénaires, Nicole Garcia pour les plus vieux, Shirine Boutella et Soufiane Guerrab pour les plus jeunes), tournée dans les décors les plus touristiques qui soient (le Louvre, le jardin du Luxembourg, la falaise d'Étretat), la mini-série affiche sans détour ses intentions : séduire le plus large public, en France et au-delà.

Y est-elle parvenue ? Les avis se déchirent depuis deux jours, prenant parfois une dimension polémique lorsque les récentes positions défendues par Omar Sy dans le débat public sont évoquées. D'un côté, les plus enthousiastes se réjouissent de retrouver le plaisir régressif qu'ils avaient pris, enfant, à la lecture des romans de Maurice Leblanc et/ou à la vision de la série avec Georges Descrières (dont les plus âgés se souviennent tous du générique chanté par Jacques Dutronc). De l'autre, les plus chagrins reprochent à ""Lupin"" sa vulgarité, l'accumulation des clichés, la pauvreté des dialogues téléphonés et son rythme poussif.

Je me classe hélas dans cette seconde catégorie.
Bien sûr, j'ai ressenti ce petit frisson régressif à retrouver le ""gentleman cambrioleur"" - dont le machisme revendiqué de mâle blanc cisgenre pourrait légitimement encourir les foudres de la génération #MeToo. Je me suis aussi laissé bluffer à la distribution brillante, au sourire séducteur d'Omar Sy et à l'argent dépensé sans compter dans une réalisation qui n'a pas mégoté son budget. Mais le plaisir fut de courte durée.

""Lupin"" reprend les codes des romans-feuilletons et des vieilles séries. Ses personnages sont archétypiques : le gentleman cambrioleur, l'ignoble milliardaire, la jolie jeune femme, l'ami fidèle.... Hélas, le temps a passé et les modes ont changé. L'œil du spectateur, qui en a beaucoup vu, a évolué. Depuis le début du vingt-et-unième siècle et la multiplication des séries américaines, les personnages ont gagné en profondeur, les intrigues sont sans cesse plus complexes. Le temps n'est plus des personnages tout d'une pièce. Les intrigues tracées d'avance ne séduisent plus.

Le casse du Louvre par lequel commence la série s'annonçait spectaculaire. Hélas, tout le déroulement nous en est révélé par avance. Et le tour de passe-passe par lequel il se termine est tellement prévisible qu'il ne nous surprend pas.

Autre exemple dans le deuxième épisode : Quand Assane Diop recueille les dernières volontés d'un mourant qui lui demande de faire sourire sa femme, la scène suivante, où notre héros, fidèle à sa parole, laisse à la veuve un diamant, est insupportable. Elle l'est encore plus quand, en voix off, résonnent une seconde fois les paroles du mourant - au cas où on n'ait pas compris qu'il s'agisse de sa veuve.

Dernier élément à charge : avoir flanqué le héros d'un gamin, avec lequel il essaie tant bien que mal de renouer une relation que sa séparation avec sa mère a mis en péril, pèse une tonne et mérite incontestablement la palme de la plus éculée idée de scénario.",13
"0,5","C'est dommage parce-que les intentions de la série au niveau du scénario, des acteurs, sont vraiment intéressantes, mais il y en a vraiment marre de voir des films et séries françaises dénoncer le racisme avec la subtilité d'un train de marchandise passant à 3h du matin. Il faut être plus fin que ça, bien sûr que le racisme c'est pas bien blablabla, mais user de cette lutte à tout bout de champs lui fait justement perdre toute son importance. Ce manichéisme en France devient vraiment pénible",14
"5,0","Je suis étonnée de voir une note si basse pour cette série très sympa, dans laquelle on a le plaisir de retrouver un très bon acteur en rôle principal.
De plus, pour une fois qu’on a une série avec une vraie diversité dans le casting et quelques petites critiques fines et bien senties, c’est appréciable.
J’attends la suite avec impatience !",0
"1,0","Il va falloir entendre le ras le bol des spectateurs concernant les clichés de cette dernière décennie et de l'occidental bashing! Ca commence à sérieusement gonfler et sentir le racisme.... Et voilà encore du Homar Sy où, désolé mais ENNCORE une fois les ""blancs"" sont ridiculisés et bernés ou ils sont les ""méchants"" ou les ""vicieux"" (apparemment ça devient une habitude... que se passe-t-il?)... Les Wesh wesh et autres représentants des ""minorités"" et autres coupes de cheveux type Lama sont les plus malins, les plus déterminés etc.. bien sûr n'oublions surtout pas l'habituelle séduction de la femme blanche..... Bref insupportable dans la lignée bien pensante toujours à la limite du racisme de Intouchable et d'autres films de cet acabit où les occidentaux reçoivent en sous-main des leçons qu'ils n'ont pas à recevoir....

Pour la série...
    spoiler: 
     C'est BOURRE d'incohérences et de facilités.



Enfin Quand je vois les films Sherlock Holmes... Voilà ce qu'aurait pu être Lupin. Là c'est une purge à base de clichés dont on ne peut plus souper.",1
"5,0",Une serie magnifique ! vraiment très plaisante à regarder je ne comprends pas les notes qui plombent la série ! hâte de voir la suite et j'espère que ça ne s'arrêtera pas là !,2
"0,5",Que dire d'une telle série si ce n'est la médiocrité d'un scénario de bas niveau et un jeu d'acteur à la limite du regardable. Bref n'en jetez plus la coupe est pleine. A regarder uniquement si vous avez du temps à perdre sinon ne perdez pas votre temps à regarder cette série B,3
"2,0","Alors… sur le papier, c'était séduisant. En tout cas, Lupin est une thématique qui me plaisait et la mise en abîme finaude, entre variation et hommage, a attisé ma curiosité. Le début m'a d'ailleurs plutôt accroché… mais à chaque nouvel épisode, mon intérêt diminuait et mon ennui grandissait. La faute à quoi ? Une accumulation d'invraisemblances, de facilités scénaristiques… à commencer par le flic fan de Lupin et qui a même des bouquins sur son bureau. Sérieux ? Tout le reste est du même tonneau : Lupin passe entre les mailles des filets de toutes les situations les plus délicates, c'est le roi de l'esquive… mais des personnages de cette première saison vont pourtant être capables de le trouver en un claquement de doigts. La pauvre Ludivine Sagnier est sous-employée (par contre la comédienne qui l'incarne jeune est absolument formidable).De même pour l'envoûtante Nicole Garcia qu'on gratifie d'un rôle sans grande partition. En fait, tout manque de consistance psychologique, tout semble artificiel. Surtout, aucun réel suspens au niveau de la trame principale, aucune ambiguité dans les personnages. Omar Sy fait le job, avec son abattage habituel. Mais cela ne sauve pas cette série, pas déplaisante mais très décevante. Elle aura peut-être au moins le mérite de redonner l'envie à notre jeunesse de se replonger dans les romans de Maurice Leblanc…",4
"0,5","Que dire d'une telle série si ce n'est la médiocrité du scénario  et un jeu d'acteur à la limite du regardable. Bref n'en jetez plus la coupe est pleine. A regarder uniquement si vous avez du temps à perdre sinon ne perdez pas votre temps à regarder cette série B. Et dire que Netflix a validé une saison 2, quelle désolation",5
"5,0","Plutôt septique au début, j'ai accroché au point de regarder tous les épisodes d'une traite.
C'est vrai que tous les acteurs ne sont pas au même niveau, que certains personnages ne sont pas creusés, mais cette série possède ce que je demande à une série, à savoir m'emmener au bout. Elle est cohérente, a une intrigue intéressante",6
"5,0",Une serie magnifique ! vraiment très plaisante à regarder je ne comprends pas les notes qui plombent la série ! hâte de voir la suite et j'espère que ça ne s'arrêtera pas là !,7
"2,5","Dommage. C'aurait pu être très bien vu les moyens déployés et la qualité de l'image. Alors où est-ce que ça coince? Ca coince parce que c'est une série française. Moderniser Lupin, bonne idée, après tout les British l'ont fait avec succès pour Holmes, sauf que pour faire ça il aurait fallu faire quelque chose qui corresponde à Lupin. A quoi ça aurait dû ressembler? A du James Bond, pas pour l'action mais pour le personnage et son environnement: Lupin aurait dû être un homme du monde, un gentleman incarnant la réussite, un type élégant qui se déplace de palace en grands restaurants en limousine, qui s'habille en costume griffé de luxe voire en smoking, un charmeur, un séducteur, flamboyant et visiblement riche, et qui vole du coup en vrai gentleman, pour le sport et pour l'Art. Pour l'incarner, il y a avait un acteur tout désigné: Dujardin, qui aurait fait du OSS117 en mode sérieux et qui aurait été parfait.

Sauf que voilà, on est en France, le pays d'Intouchables et de ses kirielles de copies feel-good bien-pensantes sur la différence sociale et la diversité, où tout est beau et mielleux, mais où montrer de l'argent, la France d'en-haut et la réussite matérielle, et surtout en faire les attributs du héros, était résolument inimaginable. Donc ils l'ont fait à la française: une grande fresque sociale mettant en scène un héros acceptable (immigré, de la diversité, venant d'en-bas, intéressé seulement par la vérité) où les riches sont les méchants et où Lupin de vient un Robin des Bois épris de justice sociale avec là aussi un acteur tout désigné pour le rôle: Omar Sy, qui fait du coup avec aisance son numéro habituel. Mais rien de plus (sait-il seulement faire autre chose?).

Mais bon, pour l'audace, pour le panache, pour le respect du matériau original, on repassera. Dommage à vrai dire.",8
"5,0",Très bonne série. Omar Sy est très bien dans ce rôle. Il y a du rythme et on accroche bien. Je la conseille vivement. Et pas de critiques sans avoir vu la série. Et le fait de ne pas aimer Omar Sy ne doit pas être une raison pour descendre cette série,9
"1,5","Comme d'habitude, beaucoup de tapages pour pas grand chose... Je croyais voir un bon remake de la célèbre série marquée de la classe désinvolte et stylée du charismatique Georges Descrières mais il n'y a là aucun rapport fin ou recherché avec le livre ou le film. Le titre n'est pour moi qu'un prétexte pour attirer les agens quand le contenu, lui, n'est ni original, ni fouillé. Dans le film c'est juste une référence sans cesse renouvelé avec des ficelles un peu trop lourde au cas ou on n'aurait pas compris le lien... et c'est vrai qu'il n'est pas évident lol 
Le black, mec de banlieue, est forcément bon, gentil, grand coeur, dévoué, etc, bref, tout blanc ! Tandis que les whites sont une femme amoureuse ou des personnages crétins, bourgeois et mauvais, tout noir.. Quel beau raccourci à une époque ou on aimerait bien que le racisme disparaisse. On est à la limite du white bashing qui semble plaire à Mr Omar Sy qui n'a jamais reproduit le succès de Intouchables où je croyais qu'il jouait un rôle... mais en fait, il reproduit toujours les mêmes expressions. Je pensais que son parcours aux USA l'aurait grandi et qu'on aurait hérité d'un magnifique Washington ou Freeman à la française, qui ne joue pas que sur sa couleur et la mode pour faire des films. La maison au USA et le costume ne suffisent pas à donner du talent Mr Sy...
A zapper sans hésitation sauf si vous aimez les films ""banlieue""",10
"0,5","C'est la pire adaptation d'Arsène Lupin . Les acteurs sont mauvais . La réalisation est digne d'un jeu des années 90
Et Netflix nous annonce une seconde saison 🤬",11
"5,0","Très bonne série. Le rythme est soutenu et on accroche assez facilement. Je vois déjà ceux qui vont critiquer sans avoir vu ou parce qu'il s'agit d'Omar Sy. Le fait de ne pas aimer cet acteur, je peux le comprendre mais d'en juger que cette série est nulle, ce n est pas justifié. Je conseille vivement à chacun de se faire son propre avis. En tout cas je la conseille vivement",12
"1,0","Ca faisait longtemps que je n'avais pas vu un truc aussi mauvais. Dialogues empruntés, cadrages bâclés, montage à contretemps et des acteurs désastreux, y compris Omar Sy dont on se demande bien ce qu'il est venu faire dans cette galère.",13
"1,0","raté complet,

rien ne va, les acteurs ne sont pas bon, les personnages caricaturaux, les dialogues sont nuls, la musique arrive n'importe comment, ce n'est plus des ficelles mais des cordes tellement c'est gros sabots...

ce n'est pas possible de faire ça en 2020",14
"1,0","En fait c'est une bonne blague, on a tout le mélange du bon produit qui veut nous prendre pour des idiots. Les raccourcis scénaristiques plombe une potentielle bonne histoire.",0
"5,0","Excellente série qui revisited efficacement le mythe d'Arsène Lupin. N'en déplaise aux rageux anti cinéma français et aux racistes, les acteurs sont tous très bons dans leurs rôles, la série à du budget, est réalisée avec brio par Louis Leterrier et le scénario tient la route. Il y a beaucoup de tours très ingénieux et qui sont expliqués correctement. . Très bon divertissement et qui mérite son succès pour l'instant.",1
"0,5","Mais comme c'est mauvais ! Des situatons à coucher dehors, un jeu d'acteur mauvais, un scénario d'un minceur à pleurer, des dialogues pourris... On prend vraiment les spectateurs pour des débiles...! A fuire",2
"5,0","Je suis ravie de ne pas avoir regardé la note Allociné avant de regarder, car je serais passée à côté d'une très très belle série. Un scénario innovant et très complet en tous points, un très bon casting, de très belles performances. Rien à redire, c'est parfait.",3
"4,0","Lupin subit une vague de critiques négatives injustifiées. Pourtant, c'est bien ficelé, intelligent et entraînant.
Comme bon nombre de personnes censées le rappelle, il est à noter qu'Omar Sy n'interprète pas Arsène Lupin, il s'en inspire et en fait son modèle de vie. Le gentleman cambrioleur reste à son état de fiction.
Et ces rappels incessants, les mêmes modes opératoires en font une série qui marche et qui nous embarque dans cet univers.
Voyons comment va se passer le final de la partie 2 après ce premier jet prometteur !",4
